id,No.,Name,Company,Country,Launched,Monthly active users,Other metrics
1,1,Facebook,Meta Platforms,United States,2004,3.070 billion,2.11 billion daily active users
2,2,YouTube,Alphabet Inc.,United States,2005,2.491 billion,
3,3,WhatsApp,Meta Platforms,United States,2009,2 billion,Had 1 billion daily active users when it had 1.3 billion monthly active users
4,4,Instagram,Meta Platforms,United States,2010,2 billion,500 million daily Instagram Stories users
5,5,WeChat,Tencent,China,2011,1.313 billion,
6,6,TikTok,ByteDance,China,2016,1.218 billion,
7,7,Messenger,Meta Platforms,United States,2011,1.03 billion,
8,8,LinkedIn,Microsoft,United States,2003,930 million,700 million registered users
9,9,Telegram,Telegram,United Arab Emirates,2013,800 million,
10,10,Snapchat,Snap Inc.,United States,2011,750 million,332 million daily active users
11,11,Douyin,ByteDance,China,2016,730 million,
12,12,Kuaishou,Kuaishou,China,2011,640 million,
13,13,Weibo,Weibo Corporation,China,2009,586 million,241 million daily active users
14,14,QQ,Tencent,China,1999,572 million,267 million daily active users
15,15,X (Twitter),X Corp.,United States,2006,550 million,
16,16,Qzone,Tencent,China,2005,517 million,
17,17,Reddit,Reddit,United States,2005,500 million,52 million daily active users
18,18,Pinterest,Pinterest,United States,2009,450 million,98 million U.S. monthly active users
19,19,JOSH,VerSe Innovation,India,2020,300 million,
20,20,Teams,Microsoft,United States,2017,300 million,145 million daily active users
21,21,Quora,Quora,United States,2009,300 million,
22,22,Skype,Microsoft,United States,2003,300 million,40 million daily active users
23,23,Tieba,Baidu,China,2003,300 million,1500 million registered users
24,24,Viber,Rakuten,Cyprus,2010,260 million,1.169 billion registered users
25,25,imo,PageBites,United States,2007,200 million,
26,26,Xiaohongshu,,China,2013,200 million,
27,27,Twitch,Amazon,United States,2011,180 million,
28,28,Line,Naver,Japan,2011,178 million,
29,29,Discord,Discord,United States,2015,150 million,
30,30,Likee,Bigo Live,Singapore,2017,150 million,
31,31,Picsart,Picsart,"United States
 Armenia",2011,150 million,
32,32,Vevo,Vevo,United States,2009,150 million,
33,33,Tumblr,Automattic,United States,2007,135 million,
34,34,VK,VK,Russia,2006,100 million,
35,35,Threads,Meta Platforms,United States,2023,Almost 100 million,
